F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,KELAS
0.024633331,0.019699554,0.022916969,0.020147092,0.018462354,0.019699554,0.017372257,0.020147092,0.01598067,0.015360151,0.015125259,0.015728389,3.978990476,6.262047905,4.810141195,5.743689283,6.993053435,6.262047905,8.052079039,5.743689283,9.198703633,9.879092707,10.20873148,9.256870995,52.53917333,135.8756981,84.5332833,106.6529745,158.1817252,135.8756981,222.9961061,106.6529745,264.7478662,311.4745355,334.1579553,268.4320296,0.343746028,0.245807319,0.312412996,0.25464758,0.22349212,0.245807319,0.203151233,0.25464758,0.174796521,0.160623123,0.158875846,0.167555015,57.44584791,51.35689908,149.3032814,55.15967104,156.8930837,59.80655167,2637.531083,3042.589309,3576.823622,0.001142507,2.15E-09,8.54E-12,7.24E-13,2.51E-25,1.89E-17,-1.78E-24,SUNFLOWER
0.053691228,0.046338303,0.052304091,0.046001065,0.044897443,0.046338303,0.043534204,0.046001065,0.040469293,0.038612119,0.039196355,0.038146295,3.024110953,4.204034687,3.138598891,4.494000941,5.498788512,4.204034687,5.72927037,4.494000941,7.37743806,7.160114532,7.733350649,7.685025286,39.4863269,68.62275012,38.4288244,77.84981423,129.1186406,68.62275012,127.8303222,77.84981423,230.9844231,202.6990555,233.600705,230.5951398,0.511268265,0.426190942,0.486915176,0.417719,0.404088608,0.426190942,0.378792634,0.417719,0.352520036,0.332406542,0.327247143,0.324767275,71.69334686,48.33370155,115.4321107,60.35633074,114.2738672,78.97933692,2336.146706,3642.88666,6237.735661,0.001174016,6.67E-09,9.19E-12,5.70E-12,3.05E-23,9.05E-17,-2.78E-23,SUNFLOWER
0.023039971,0.019659634,0.022739231,0.019101806,0.017551878,0.019659634,0.01744153,0.019101806,0.015442611,0.015902921,0.015428217,0.015310039,5.08121203,6.557409556,4.835535937,6.84144831,8.665259036,6.557409556,8.40608078,6.84144831,11.27321569,10.48155877,11.02392433,11.0078658,91.66880902,146.4046951,79.01939314,156.6356894,255.0090783,146.4046951,236.040824,156.6356894,415.9392549,368.2947997,397.997284,394.2446019,0.324420245,0.256382818,0.320493865,0.245033697,0.215598835,0.256382818,0.214433418,0.245033697,0.172786831,0.179529875,0.174221162,0.16926787,39.19665165,45.67647153,105.2443333,58.64233974,113.1433784,71.063343,2086.340052,3438.92401,5049.998719,0.001592631,1.67E-07,8.62E-12,6.95E-12,3.55E-23,2.83E-15,4.04E-23,SUNFLOWER
0.066666163,0.06327947,0.066751742,0.063082893,0.061796469,0.06327947,0.06249981,0.063082893,0.059085689,0.058751953,0.060364014,0.058460225,3.700456662,5.416707761,4.131368237,5.386588185,6.545659992,5.416707761,7.283692308,5.386588185,8.580191953,8.837503862,9.46261296,8.822517342,49.33987487,105.0208934,62.48358464,101.5394804,155.2739669,105.0208934,196.0071119,101.5394804,270.5001648,289.0700284,333.7934011,279.2844981,0.432519801,0.369465156,0.424508047,0.363585174,0.340384637,0.369465156,0.334533484,0.363585174,0.300669157,0.297150143,0.293543666,0.287982505,116.2006376,105.5876311,161.981122,60.37136472,166.1799094,61.08478447,11148.74785,3644.701678,3731.350894,0.001176489,3.40E-08,1.29E-11,2.75E-11,4.70E-22,5.05E-15,2.14E-22,SUNFLOWER
0.023240422,0.01847532,0.021376793,0.018701485,0.017435609,0.01847532,0.016103949,0.018701485,0.01511342,0.014374936,0.013974178,0.01457384,3.987500654,6.230657393,4.7336553,6.054928157,7.334439791,6.230657393,8.750768085,6.054928157,10.02879685,10.92225709,12.00215129,10.60367123,51.1669098,113.6243101,65.0206575,106.2062635,169.1929843,113.6243101,217.63911,106.2062635,308.9870931,344.9093994,398.7645008,320.9883461,0.344562359,0.241421116,0.298668499,0.24624774,0.219460993,0.241421116,0.188012125,0.24624774,0.168533035,0.155037374,0.14342686,0.157543332,62.14888512,34.93833176,119.3700131,58.26938254,122.9264674,71.32292049,1220.687026,3395.320942,5086.958987,0.001381071,2.42E-07,8.10E-13,2.73E-12,-3.01E-24,1.12E-15,-2.72E-24,SUNFLOWER
0.050225551,0.042456064,0.048421107,0.042624867,0.0427543,0.042456064,0.040083915,0.042624867,0.039156033,0.034953648,0.035691774,0.035204176,6.140176223,8.501380459,6.503823741,7.978889434,9.517008789,8.501380459,10.01447928,7.978889434,11.23027573,11.81027172,11.67712996,11.02157459,188.2577183,326.9850961,207.1964712,295.7388338,417.9092204,326.9850961,459.7706018,295.7388338,553.6440185,590.6553602,591.6150361,526.085875,0.472427739,0.405493062,0.467247536,0.408089097,0.397804652,0.405493062,0.384002424,0.408089097,0.363400719,0.33466926,0.340927509,0.337372725,104.1744022,89.65993928,131.4972352,58.58838479,121.6177199,63.15869641,8038.904711,3432.598833,3989.020932,0.001377403,1.33E-08,1.80E-11,7.01E-12,7.39E-23,8.10E-16,2.68E-23,SUNFLOWER
0.035943836,0.030915275,0.036473452,0.030741214,0.028500031,0.030915275,0.029082423,0.030741214,0.025404952,0.025186518,0.025833743,0.025006534,5.040189474,6.651405066,5.164734875,6.899160727,8.490659639,6.651405066,8.781884294,6.899160727,10.78139065,10.21407316,11.15055196,10.63236984,89.92811729,157.8538762,95.57743415,163.9113324,248.4607922,157.8538762,271.9465972,163.9113324,393.0710799,369.2162082,430.6395218,383.5824049,0.345719433,0.283731592,0.346463428,0.275667256,0.244783292,0.283731592,0.247905534,0.275667256,0.204435562,0.210732981,0.208099235,0.203459963,9.037261261,12.179054,89.36542643,61.42115303,119.4993694,85.80573169,148.3293563,3772.55804,7362.623591,0.001417629,9.77E-08,4.26E-11,1.10E-11,2.37E-22,-5.51E-16,2.08E-23,SUNFLOWER
0.017330057,0.01435191,0.016900709,0.014986773,0.013614134,0.01435191,0.013328924,0.014986773,0.012315898,0.011908019,0.012001106,0.012588002,8.024483146,10.84643444,7.921251849,9.761864553,12.42796998,10.84643444,12.65524153,9.761864553,14.67862782,15.39312974,15.34362436,13.84850848,206.2344607,349.5379073,190.923106,288.1904971,465.3909794,349.5379073,473.4145854,288.1904971,618.0768158,657.4530542,665.2372064,557.4287205,0.227075476,0.160863844,0.217126528,0.174150591,0.148390621,0.160863844,0.144216684,0.174150591,0.12213981,0.113560669,0.117864581,0.125417719,63.91014206,45.87444739,137.1809009,56.09548738,146.145914,69.72248125,2104.464924,3146.703705,4861.224391,0.001220502,6.36E-09,1.15E-12,2.30E-12,-2.52E-24,-2.76E-17,2.77E-24,SUNFLOWER
0.017566201,0.014498926,0.016482007,0.014647994,0.01403634,0.014498926,0.013283032,0.014647994,0.012794252,0.012327579,0.012166126,0.012415531,6.517571142,9.212067421,7.069014028,8.839984578,10.45858635,9.212067421,11.46374297,8.839984578,12.6572837,13.38328414,13.91098592,12.96625861,123.6866373,226.865105,135.3225932,208.6068048,307.2479598,226.865105,350.7298394,208.6068048,435.0162213,466.3880744,504.6227928,442.3389461,0.25647229,0.181745417,0.227486962,0.185641875,0.173758873,0.181745417,0.155172922,0.185641875,0.145113042,0.132483976,0.130134337,0.135861803,63.98248,86.97133443,120.086636,64.89007217,147.538836,63.8200308,7564.013013,4210.721466,4072.996332,0.001488048,1.42E-10,7.21E-11,7.68E-11,5.71E-21,-1.33E-16,1.11E-22,SUNFLOWER
0.018745436,0.015800045,0.018821061,0.015712193,0.014297349,0.015800045,0.014319497,0.015712193,0.012504711,0.012571804,0.012501208,0.012553518,6.260062761,8.284961552,6.241530921,8.192307992,10.04340331,8.284961552,10.24737205,8.192307992,12.3673027,12.31001153,12.72972952,11.9642906,137.0925028,215.7773264,132.2132786,214.1621719,310.396062,215.7773264,321.8573725,214.1621719,420.2989793,416.0343928,446.7288872,390.7436854,0.258528878,0.198254812,0.266056561,0.196535969,0.167422722,0.198254812,0.172914622,0.196535969,0.133017647,0.135382531,0.135824916,0.135299872,56.28687549,61.90411189,129.8352643,60.57785427,145.3531589,74.23895421,3832.119068,3669.676428,5511.422323,0.001332081,2.44E-08,5.22E-12,9.77E-12,-4.47E-23,1.73E-16,-5.36E-23,SUNFLOWER
